Program Number,Program Name,Budget Request Documentation Section Content
1101,Public Accountability and Ratepayer Advocate,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program provides public independent analysis of Department of Water and Power (DWP) actions as they relate to water and electricity rates and operations, as authorized by the Charter, which includes, and is not limited to, the following efforts: 1) review and analysis of proposed utility rate proposals and periodic adjustments; 2) evaluation of and advice on DWP long-term strategic plans, operations, budget, finances, and performance; 3) review of major plans, programs, projects, policies, contracts, costs, and utility rates; and, 4) analysis of customer data to evaluate of customer service performance at DWP. _x000D_
_x000D_
This Charter-mandated activity was previously budgeted within the Office of the City Administrative Officer for administrative purposes only. As of July 1, 2017 this Office will be an independent department."
1201,Criminal and Special Litigation,"Priority Outcome: Ensure our communities are the safest in the nation_x000D_
This program includes three divisions, Criminal Branch Operations, Safe Neighborhoods and Anti-Gangs, and Special Operations and Litigation, as well as the Community Justice Initiative. Through this Branch, the City Attorney's Office prosecutes misdemeanor offenses, including gang crimes, family violence, consumer fraud, and code enforcement; proactively addresses quality of life and safety issues in neighborhoods, including through the Neighborhood Prosecutor Program; comprehensively tackles gang crime in partnership with the Los Angeles Police Department through prevention, intervention, and suppression; and, in collaboration with regulatory and/or other prosecutorial agencies, addresses environmental protection and justice issues.   A recent emphasis on restorative justice aims to work with non-violent offenders to prevent future involvement with the criminal justice system, including through the Neighborhood Justice Program."
1202,Civil Liability Management,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program includes seven divisions focused on litigation, Business and Complex, Employment, Police Liability, General Liability, Civil Appeals and Workers' Compensation, plus the Risk Management Unit, and oversight of the Affirmative Litigation Division. Through this Branch, the City Attorney's Office defends the City in civil lawsuits including general tort liability, police misconduct, employment matters, and complex business matters. This Branch also represents the City in Workers' Compensation actions. The Affirmative Litigation Division brings civil enforcement and other affirmative litigation to address unfair business practices and nuisances to protect the City and its residents. The Risk Management Unit identifies and analyzes trends in litigation and develops recommendations to reduce future incidents."
1203,Municipal Law,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program includes seven divisions: Labor Relations, Real Property and Environmental, Economic Development, Land Use, General Counsel, Public Safety, and Retirement Benefits. Through this Branch, the City Attorney's Office provides legal advice, assistance and representation to the municipality of the City and its elected officials, officers, entities, general managers, and staff. This Branch prepares various legal documents, appears before governmental, regulatory, and administrative bodies, provides legal services to the pension systems and the Housing Authority, advises on employee relations matters, and defends the City in land use matters."
1204,Proprietary and Outside Counsel,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program includes three divisions: Los Angeles World Airports, Department of Water and Power, and Port of Los Angeles.  Through this Branch, the City Attorney's Office provides legal advice and representation to the proprietary departments and their governing bodies, their respective general managers, and their staff on all legal matters including general, transactional, and litigation advice. This includes preparing various legal documents, appearing before governmental, regulatory, and administrative bodies, handling liability claims and defense of litigation and appeals, advising on employee relations, and representing the City in special litigation matters."
1250,General Administration and Support,"This program includes executive and administrative management for the Office of the City Attorney. Functions include determining office policies and procedures; overall supervision of all personnel, including those assigned to the proprietary departments; and performance of various administrative functions, including budget, finance, human resources, and oversight of the contracts and funding associated with outside legal counsel for all City departments, including proprietaries."
1301,Regulations and Licensing,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program develops rules and regulations to implement local and State law pertaining to cannabis use, administers the application, licensing, renewal, and revocation processes for cannabis businesses, as well as, coordinates with other city departments to ensure timely completion of inspections, audits, and associated functions."
1401,Council and Public Services,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program provides legislative support services to the Mayor, City Council, and its committees.  Staff prepare agendas for and attend all Council and Committee meetings, and prepare final Committee reports with legislative recommendations for full Council consideration.  This program also receives all claims on behalf of the City, attests to the City's contracts, publishes official notices, and maintains and makes electronic records of all legislation, commendatory resolutions, results of City Council votes, and scanned documents and reports filed in the City Council's files available to the public through the Council File Management System."
1402,Administration of City Elections,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program assists the Los Angeles County Registrar-Recorder in the conduct of the city's municipal elections, jointly conducts the Neighborhood Council board member elections with the Department of Neighborhood Empowerment, and is responsible for administering special municipal elections as specified by the Los Angeles City Charter, City Election Code, and state and federal law."
1405,Records Management,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program provides for maintenance, analysis, and custody of City records stored in the Records Center; destruction of records in accordance with established departmental schedules; and archival preservation, archival storage, and archival reference."
1406,Special Assessments,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program provides for the management of the Business Improvement District (BID) Program and the BID Trust Fund."
1407,Mayor and City Council Administrative Support,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program prepares and certifies all payrolls and demands upon the Mayor and Council funds, expends the funds of the Mayor and Council in accordance with their respective budget appropriations, and prepares and submits detailed estimates of money required for the next fiscal year for the proper conduct of the Office of the Mayor and City Council. This program will also oversee the Neighborhood Council (NC) Funding Program by processing payments and auditing expenditures of the NCs to ensure that public funds are spent in a responsible and fiscally sound manner."
1449,Technology Support,"This program provides Department information and strategic and tactical planning; applications development, implementation, and systems integration; technical support services; and specialized election systems development and support."
1450,General Administration and Support,"This program provides for management and control of City Clerk programs and administrative support activities including budget control, personnel administration, and accounting for the City Clerk, Mayor, and the City Council."
1701,Governmental Ethics,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program shapes, administers, and enforces laws regarding governmental ethics, conflicts of interests, campaign financing, and lobbying. For each program area, the Ethics Commission is required by law to process public disclosure filings, provide advice and trainings, conduct audits, maintain a whistleblower hotline, investigate and enforce against violations, and analyze and make policy recommendations regarding the laws. The Ethics Commission also administers a matching funds program, which provides limited public financing to qualified candidates for elected office."
2202,Adult Workforce Development,"Priority Outcome: Promote good jobs for Angelenos all across Los Angeles_x000D_
This program administers the City's Workforce Development system consisting of the City's WorkSource Centers, Rapid Response programs, and other career and employment training programs for adults, funded by the U.S. Department of Labor under the Workforce Innovation and Opportunity Act and other various grants. _x000D_
"
2205,Economic Development,"Priority Outcomes: Promote good jobs for Angelenos all across Los Angeles  _x000D_
This program promotes economic development projects and job creation by providing technical assistance through the City's BusinessSource System, loans to small business owners, and support for large-scale economic development projects throughout the City. _x000D_
"
2207,Youth Workforce Development,"Priority Outcome: Promote good jobs for Angelenos all across Los Angeles_x000D_
This program manages the City's YouthSource System, including the City's YouthSource Centers, Summer Youth Employment Program, Hire LA Program, and other youth re-engagement and career pathway programs. Funding is provided primarily by the U.S. Department of Labor under the Workforce Innovation and Opportunity Act, and various other federal and state grants._x000D_
"
2249,Technology Support,"This program provides department-wide systems support for operations through maintenance of business systems used to collect and report performance data to comply with grant regulations, network administration and maintenance, and internal services and related support."
2250,General Administration and Support,"This program provides department-wide administrative services, including executive management, fiscal management, accounting and audit services, and budget development and administration."
2601,Accounting and Disbursement of City Funds,"Priority Outcome: Make Los Angeles the best run big city in America _x000D_
This program is responsible for overseeing accounting within the City and ensuring that the Controller's mandated responsibility as Accountant of the City of Los Angeles is carried out. This program specifically includes accounting, payments, and disbursements of City funds and is divided into three sections - Demand Audit, Paymaster, and Funds and Appropriations."
2602,Financial Reporting of City and Grant Funds,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program provides leadership and guidance to City departments in the proper recording and reporting of financial data and ensures the City's compliance with accounting regulations. This program produces the City's Comprehensive Annual Financial Report, Preliminary Financial Report, Municipal Improvement Corporation of Los Angeles financial statements and State mandated reports, and timely cash and revenue forecasts. This program compiles the Schedule of Expenditures of Federal Awards and the Cost Allocation Plan for the City. This program ensures sufficient General Fund cash flow and General Obligation bond tax levy to meet obligations. Finally, this program provides check reconciliation services ensuring against fraudulent checks."
2603,Audits of City Departments and Programs,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program conducts risk-based audits in accordance with Government Auditing Standards to meet the Charter requirement for an established audit cycle to ensure that the performance, programs, and activities of every Department are audited on a regular basis and that City resources and funds are adequately safeguarded. These audits provide an independent assessment of existing controls and determine if Departments are operating efficiently and effectively and are producing the desired outcomes, as established by City leaders. They ensure that financial and operational activities are accurately reported and conform with applicable laws and regulations, and promote the effective use of City resources. Audits recommend improvements to operations that save taxpayer dollars and increase program outcomes, and hold Department management accountable for effecting positive change."
2604,Support of the City's Financial Systems,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program maintains the integrity of the various financial systems of the City housed in the Controller's Office, which include the Financial Management Systems (FMS) and peripheral systems such as the Supply Management System (SMS). FMS is the City's main business intelligence system for accounting and financial reporting."
2605,Citywide Payroll Administration,"Priority Outcome: Make Los Angeles the best run big city in America _x000D_
This program ensures timely and accurate processing and distribution of payments to employees, labor organizations, employee benefits vendors, garnishment benefactors, and Federal and State tax agencies. Timely and accurate payroll processing is critical for the City to avoid penalties and liabilities. The City's timekeeping and payroll system works in conjunction with other City systems to provide detailed labor cost data, time attendance tracking, and personnel rules enforcement."
2650,General Administration and Support,"This program manages all functions in the Controller's Office to ensure Charter mandated responsibilities as Auditor and Accountant of the City of Los Angeles are carried out. This includes administrative support for both executive management and operations of the Controller's Office, including all aspects of personnel, budgeting, contracting, procurement and accounting, technical support, records retention, and facilities."
2801,Legislation and Policy Determination,"This program sets policy, enacts City laws, determines legislative action and provides oversight of the City's departments in areas of municipal concern. This program houses the Council District Offices of the 15 elected Councilmembers and the Office of the Chief Legislative Analyst (CLA). The purpose of the CLA is to support the City Council in arriving at sound public policy by providing technical and policy analysis on issues before the Council."
3001,Community Arts,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program consists of a network of individuals and organizations anchored by City-owned cultural assets located in communities throughout Los Angeles that offer high-quality instruction in the arts; presents solo and group art exhibitions; creates outreach programs for underserved populations; develops special initiatives for young people; and supports numerous events during the year that celebrate the cultural diversity of the community. Services are provided through Department of Cultural Affairs-managed art centers and theaters and partnered facilities."
3002,Marketing and Development,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program involves collaboration with local, state, national, and international arts organizations to promote cultural awareness and increase access to arts and cultural opportunities in Los Angeles. This program undertakes fundraising initiatives to supplement the City's resources and support strategic partnerships with foundations, government agencies, corporations, and private individual donors. This program also manages all media relations, public relations, and communications for the Department."
3003,Public Art,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program significantly supports artists and cultural projects through five distinct types of arts programs: the Public Works Improvements Arts Program (more commonly known as Percent-for-Public-Art or Public % for Art), the Private Arts Development Fee Program, the Murals Program, and the City's Art Collection. The fifth program, Music LA, supports artists, cultural programming, and youth arts education by providing free to low-cost music education in underserved parts of the community.  This program also ensures the well-being of the public realm through the support of an informed architectural design-review process for municipal projects."
3004,Grants Program,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides a diverse portfolio of high-quality free or low-cost arts and cultural services for residents and visitors of all ages throughout the City.  Through a competitive peer-panel review process, the Department currently awards grant contracts for services to over 250 creative professionals and non-profit arts and cultural organizations in a variety of disciplines and categories including dance, music, media, visual arts, literature, educational programs, residencies, and professional fellowships."
3050,General Administration and Support,"This program provides overall management and administrative support necessary for operation of the Department. Inclusive are executive management; the various administrative functions including budget, accounting, contract administration, payroll; and special projects."
3201,Public Safety Systems Development and Support,"Priority Outcome: Ensure our communities are the safest in the nation_x000D_
This program provides development and support for the Los Angeles Fire Department and Los Angeles Police Department dispatch systems and software applications, emergency operations systems, public safety portal, and the information technology used in the Emergency Operation Center."
3202,Public Safety Communications,"Priority Outcome: Ensure our communities are the safest in the nation _x000D_
This program provides engineering and technical support, and implementation of communications equipment in all City buildings, supports radio, microwave and avionics systems, and installs and maintains communications equipment in public safety vehicles and helicopters."
3203,Customer Engagement,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program operates and manages the City's 3-1-1 Call Center operations and develops, implements, and maintains technology solutions in support of the Call Center. This program provides a way to get connected to a wide variety of non-emergency City services and general information. City services can be requested directly, including bulky item pickup requests, inspection requests, graffiti cleanup requests, and reports of property violations. This program also operates and manages LA Cityview Channel 35 and Council Phone services, produces City-related programming content, and monitors compliance of local video and cable franchises regarding the payment of franchise fees and consumer services."
3204,Cable Television,"As a result of the realignment of resources to reflect the Department's current organizational structure, positions and funding in this budgetary program have been transferred to Customer Engagement."
3206,Office Systems Support,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
The program provides support for and develops the City's e-mail and document management systems, provides server and desktop support for several departments, and develops and supports elected officials' websites and information technology equipment and applications. Included in this program is the Digital Inclusion Project, which provides refurbished computers to low income families."
3207,Systems Development and Support,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program designs, develops, implements, and supports major City applications for financial systems, budget, payroll, and procurement."
3208,Enterprise and Distributed Systems and Operation,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program operates and manages the City's mainframe and distributed server systems and associated functions including storage, security, remote access, internet filtering, and server virtualization efforts, and provides technology helpdesk services."
3209,Network Engineering and Operations,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program operates and maintains the City's voice and video communication systems, designs and manages voice and video infrastructure projects, and manages contracts related to these services."
3210,Data Engineering and Operations,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program operates and maintains the City's data and wireless communications systems and designs and manages network infrastructure projects."
3211,Business Applications and Web Services,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program designs, develops, and supports City applications for elected officials, various City departments, centralized data repositories, and core City websites."
3250,General Administration and Support,"This program provides overall direction, control, and planning to carry out the department's programs and provides administrative support, including financial, contract administration, and payroll functions."
3301,History and Museums,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program manages El Pueblo's museums, coordinates exhibits and tours, conducts community outreach, and educates school children and the public on the historical significance of El Pueblo. This program also preserves, protects, and restores El Pueblo's historical assets."
3302,Marketing and Events,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program promotes El Pueblo as a universal destination to experience Los Angeles' multicultural past, present, and future, as well as coordinates special events, filming, and commercial use of the historic Monument, all of which generate parking and rental income to support cost-effective operations."
3348,Property Management,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program manages tenant relationships, buildings, infrastructure, and real property and ensures that El Pueblo is a safe destination for visitors."
3350,General Administration and Support,"This program provides leadership and direction for El Pueblo, supports the El Pueblo de Los Angeles Historical Monument Authority Commission, and performs management and administrative support functions such as budget, accounting, systems, and payroll."
3501,Emergency Management,"Priority Outcome: Ensure our communities are the safest in the nation_x000D_
This program provides for preparation for and recovery from citywide emergencies by developing a citywide emergency plan, reviewing and testing departmental emergency plans, coordinating citywide emergency management training programs, providing community and emergency preparedness training for City employees, disseminating information and promoting emergency preparedness, and ensuring the readiness of the City's Emergency Operations Center."
3601,Employee Relations,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program determines representation units for City employees, arranges for elections in such units, determines the validity of charges of unfair practices by management or employee organizations, and maintains lists of impartial third parties for use in the resolution of impasses.  The Board is authorized to resolve matters relating to the composition of representation units and Unfair Employee Relations Practices (UERPs)."
3801,Arson Investigation and Counter-Terrorism,"Priority Outcome: Ensure our communities are the safest in the nation _x000D_
This program investigates incidents that may be related to terrorist activity, works closely with law enforcement and other terrorism preparedness groups, and investigates the causes of fires of undetermined, suspicious, or incendiary origin, explosions, and fires in which deaths, serious injuries, or extensive property damage have occurred.  Arson investigators interrogate witnesses and suspects, apprehend alleged offenders, and assist in prosecution of suspects."
3803,Fire Suppression,"Priority Outcome: Ensure our communities are the safest in the nation_x000D_
This program responds to all alarms and requests related to fire suppression, extinguishes fires, protects and salvages property, and rescues endangered individuals as required."
3804,Metropolitan Fire Communications,"Priority Outcome: Ensure our communities are the safest in the nation _x000D_
This program is responsible for dispatching resources and equipment to emergencies. This program was previously titled Operations Control and Dispatch."
3805,Hazardous Materials Enforcement,"Priority Outcome: Ensure our communities are the safest in the nation _x000D_
This program enforces regulation of storage, use, and handling of hazardous materials and substances to ensure compliance with the Fire Code._x000D_
"
3806,Fire Prevention,"Priority Outcome: Ensure our communities are the safest in the nation _x000D_
This program provides sworn inspection services to promote the prevention of fires and promote fire/life safety. This program was previously titled Inspection of Existing Structures, Devices, and Materials."
3808,Emergency Medical Service,"Priority Outcome: Ensure our communities are the safest in the nation _x000D_
This program provides basic and advanced medical life support intervention, emergency medical and/or paramedic treatment at the scene of accidents or illnesses, transportation to the nearest qualified medical facility, and rescue."
3847,Training,"Priority Outcome: Ensure our communities are the safest in the nation _x000D_
This program is responsible for the planning, coordination, development, implementation, and evaluation of Department training programs, performs recruitment, assists with selection, trains recruits, provides quality assurance, and oversees the Public Access Defibrillator Program."
3848,"Procurement, Maintenance and Repair","Priority Outcome: Ensure our communities are the safest in the nation _x000D_
This program manages the procurement, maintenance, and repair of fire apparatus and emergency and non-emergency equipment.  It is also responsible for purchasing, warehousing, and distribution of supplies."
3849,Technology Support,"This program provides information technology and support for all aspects of department operations including, but not limited to, dispatching, emergency communications, fire prevention and inspection, training, equipment maintenance, supply management, and administration and planning."
3850,General Administration and Support,"This program performs management and administrative functions including policy development, implementation and control, budget, administrative and personnel services, and operational planning."
3901,Revenue Management,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program collects delinquent business tax accounts and other delinquent accounts due to the City that are valued at $5,000 or greater. The program is also responsible for the development and implementation of the guidelines and strategies for improving billing and collection efforts, and provides recommendations for efficient organization of revenue collections."
3902,Treasury Services,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program provides management, implementation, coordination, and oversight of City treasury operations, banking relationships, merchant services, and other depository and disbursement services to support City departments."
3905,LATAX System Support,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program supports the maintenance, programming, and upgrade of the LATAX system for the efficient management and collection of tax revenue as well as the computer systems development and support for all Finance and Treasury activities.  This program also provides for staff support related to processing of all lockbox, mailed, or web-submitted renewals and bill payments as well as departmental processing of penalty waivers, refunds, and document imaging."
3906,Customer Support,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program assists the public and business community with questions regarding taxes that are administered by Finance, Police, Fire, and Tobacco permits, and lifeline applications for other City departments."
3908,Investment,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program manages the City's Investment Program, which includes actively managing the City's multi-billion dollar General Pool and Special Funds investment portfolios, the purchase and/or reinvestment of City funds, selling or exchanging securities purchased, and depositing securities for safekeeping to the City custodial bank as part of its Securities Lending Program."
3909,Tax and Permit,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program provides administration and enforcement of the City's Business Tax, various users' taxes, and certain permits issued by regulatory departments.  These efforts ensure timely identification, assessment, and collection of taxes and permit fees due to the City."
3950,General Administration and Support,This program provides for management and control of the Office of Finance programs and administrative support activities including budget control and accounting.
4001,Custodial Services,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program maintains a clean and sanitary environment in City facilities including the Civic Center, police jails and stations, public libraries, animal shelters, LEED-certified buildings, and other facilities._x000D_
"
