Department Number,Department Name,Department Description
70,Police,"This Department has the duty and power to enforce the penal divisions of the City Charter, the ordinances of the City, and state and federal laws for the purpose of protecting persons and property and for the preservation of the peace of the community.  To these ends the Department engages in patrol, prevention of crime, investigation of reported crime, apprehension of suspects, the gathering and presentation of evidence, detention of unarraigned persons, enforcement of traffic laws, investigations of traffic accidents, custody of property, and such staff services as are necessary to engage in these activities."
74,Public Works - Board of Public Works,"The Board of Public Works manages the Department of Public Works and is responsible for operation of the Public Works bureaus. The Board advertises and invites proposals for bids; awards contracts for the construction of public buildings; and expedites construction. The Board offices perform Public Works' accounting, financial services, and conduct graffiti removal and neighborhood cleanups."
76,Public Works - Bureau of Contract Administration,"This Bureau is responsible for administering contracts and permits for construction of public works such as buildings, streets, bridges, sewers, storm drains, and related improvements.  It provides inspection services at construction sites and at fabrication plants engaged in manufacturing concrete and steel pipe, asphalt, and concrete paving materials; approves and processes payment for work acceptably completed; and recommends acceptance of completed public improvement projects. The Bureau is also responsible for administering the City's Contract Compliance program which includes minority business enterprise utilization, prevailing, living and minimum wage compensation, and local worker and business participation."
78,Public Works - Bureau of Engineering,"As the City's capital delivery organization for non-proprietary capital projects, with a mission and organization-wide commitment to be a national leader in the delivery of sustainable capital projects, the Bureau of Engineering annually delivers a diverse set of wastewater, municipal, recreation and park facilities as well as bridge and street improvements, streetscapes, and stormwater systems. Through data-driven performance management and the Bureau's vision to lead the transformation of Los Angeles into the world's most livable City, the Bureau continues to focus on delivering Leadership in Energy and Environmental Design (LEED) building projects and continuing its leadership role with Envision, a nationally recognized green assessment tool for civil engineering projects. In addition to the design, construction, and delivery of the City's capital projects, the Bureau provides the following services: fee-supported permits; pre-development and engineering services that are primarily related to infrastructure improvements within the public right-of-way; maintaining ownership records of real property within the City; maintaining and reproducing maps in support of various City services including Navigate LA; collecting, calculating and recording survey data; and conducting real estate and environmental assessments, investigations and research in support of Bureau operations and the City's capital projects."
82,Public Works - Bureau of Sanitation,"This Bureau collects and disposes of household refuse and dead animals; collects and processes recyclables; closes and reclaims remaining City-owned landfills for future development and beneficial reuse; plans and arranges for design of refuse collection facilities; and plans and designs refuse disposal facilities.  It controls the discharge of wastewater, industrial wastes and stormwater into sewers, storm drains, open channels and navigable waters; inspects and maintains open stormwater channels; maintains, operates, and repairs all sanitary sewers, storm drains, culverts, and appurtenant structures, such as wastewater and stormwater pumping plants and sewer ventilating plants; and operates and maintains wastewater treatment plants.  The Bureau administers the Stormwater Pollution Abatement Program which oversees City compliance with the terms of the permit issued under the National Pollutant Discharge Elimination System (NPDES)."
84,Public Works - Bureau of Street Lighting,"This Bureau provides engineering design, construction, maintenance, and repair of the City's Street Lighting System; maintains adequate roadway and sidewalk illumination for vehicular and pedestrian safety; prepares specifications, Ordinance of Intention, and cost estimates for new installations and maintenance assessments for operation of all street lights in the Los Angeles City Lighting District; administers the development of street lighting financed by the basic Assessment Act procedures; spreads the cost of special assessments processed by the City in accordance with state laws and City street lighting construction and maintenance ordinances; provides assessment advisory services to the City Council and its Public Works Committee; evaluates petitions for street lighting in accordance with the 1911 Improvement Act and provides technical services to other agencies; and participates in the development and application of national illumination standards."
86,Public Works - Bureau of Street Services,"The Bureau's objective is to enhance public safety, mobility, health, and neighborhood quality of life by revitalizing the streetscape.  Its three outcome goals are to (i) improve the quality of the road surface, (ii) maintain a safe, clean and green public right-of-way, and (iii) build streetscape improvements.  The four core programs that support these outcome goals are Pavement Preservation, Urban Forestry, Motorized Street Sweeping, and Enforcement.  Pavement Preservation includes resurfacing, slurry seal, small asphalt repairs, and the Pavement Management System, which maintains a comprehensive database of road surface conditions throughout the city.  Urban Forestry includes the management and care of street trees and landscaped median islands and the issuance of permits relating to trees on both public and private property.  Motorized Street Sweeping is primarily focused on posted routes in which sweeping occurs on a weekly basis.  The Bureau's Investigation and Enforcement Division issues a wide variety of permits relating to construction and special events taking place within the public right-of-way and responds to complaints regarding violation of city codes including illegal dumping, vending, and water discharge.  The Bureau's Engineering and Special Projects divisions use a design-build approach to construct streetscape improvements, including curb ramps, bus pads, median islands, bikeways, and customized streetscape improvements, in response to community needs.  The Bureau also enforces the weed abatement ordinance on private, unimproved parcels outside of the high fire severity zone."
87,Zoo,"This Department is responsible for the operation and maintenance of the Los Angeles Zoo and Botanical Gardens including curatorial services, animal exhibit and health services, public information and education, facility maintenance, capital improvement administration, and business operations."
88,Recreation and Parks,"This Department operates and maintains parks, playgrounds, swimming pools, public golf courses, recreation centers, recreation camps and educational facilities, and structures of historic significance; and supervises all recreational activities at such facilities."
94,Transportation,"This Department is responsible for the development of plans to meet the ground transportation needs of the traveling public and commerce; it has centralized authority over the conceptual planning and operation of the City's streets and highways system; and it provides a primary interface with other governmental agencies on transportation matters. The Department studies parking and traffic needs; provides for the installation and maintenance of traffic signs, signals, parking meters, street name signs, and other transportation control devices; controls traffic and pedestrian movement at all intersections; enforces parking rules and regulations and accounts for all revenue therefrom; coordinates the development of off-street parking; oversees crossing guard services; provides public utility regulation through investigation of services and rates of the privately owned public utilities; regulates the rates and services of taxicabs, ambulances, and sightseeing vehicles, and issues permits to drivers of public transportation vehicles; prepares and enforces provisions of franchises; and audits franchise payments."
16A,Appropriations to City Employees' Retirement,"Charter Section 1160 requires the City to pay the cost of maintenance of the retirement fund, which provides retirement, disability, and death benefits for officers and employees of the City except members of the Fire and Police Pensions System and members of the Water and Power Employees' Retirement Plan. The City's General Fund contribution will be financed by the issuance of a Tax and Revenue Anticipation Note (TRAN). The Special Fund portion is the amount obligated to the Harbor, Airports, the Los Angeles City Employee's Retirement System, and the Los Angeles Fire and Police Pensions System for retirement costs for their employees."
44A,Appropriations to Library Fund,"Charter Section 531 provides that an annual sum equal to 0.0300 percent of assessed value of all property in the City as assessed for City taxes be provided for the financial support of the Library Department. The Department may request, in accordance with Charter Section 246, assistance from the Council in the performance of its functions with appropriations of money or otherwise."
53LVL4,Capital Finance Administration,"An annual sum is appropriated to make lease and other payments, including trustee and arbitrage fees, required by various non-general obligation, long-term City financing programs. These financing programs utilize a financing lease or ""lease purchase"" generally paid out of General Fund appropriations and the sale of public securities (lease revenue bonds or certificates of participation) to acquire facilities and equipment items for use by City departments."
56LVL4,General City Purposes,"These appropriations are to cover the cost of special services or purposes not chargeable to a specific department of the City.  Departments responsible for administering General City Purposes contracts are designated in the Blue Book.  Additional details related to specific items are shown in the Footnotes (see Section 2, Part IV)."
58LVL4,Unappropriated Balance,Charter Section 312 requires that an amount known as the Unappropriated Balance be included in the Budget to be available for appropriations later in the fiscal year to meet contingencies as they arise.
59LVL4,Liability Claims,"An annual sum is appropriated to this Fund for the payment or settlement of any monetary claims or legal action brought by or against the City of Los Angeles, or any officer or employee for which the City may be ultimately liable. Los Angeles Administrative Code Section 5.173 authorizes the City Attorney to settle claims and pay judgments against the City in an amount not to exceed $50,000 and an additional $50,000, not to exceed $100,000, subject to the approval of the Claims Board. Payments of settlements or claims over $100,000 must be approved by the Council with the concurrence of the Mayor."
60LVL4,Water and Electricity,An annual sum is appropriated to this Fund to reimburse the Department of Water and Power for water and electrical services rendered to departments or special purposes whose activities are financed primarily from the General Fund.
61LVL4,Human Resources Benefits,"An annual sum is appropriated to each line item in this Fund for the following purposes: (1) payment of all workers' compensation and rehabilitation bills, claims, and awards; (2) payment of subsidies for the City's benefits program; and (3) payment of unemployment insurance claims. This Fund may also be used to provide other benefits as approved by the Mayor and Council. The Personnel Department administers this Fund. All civilian Health, Dental, Disability, and Life Insurance subsidies are included in the Civilian FLEX Program line item."
88A,Appropriations to Recreation and Parks Fund,"Charter Section 593 provides that a sum is appropriated annually for the financial support of the Department of Recreation and Parks in an amount not less than 0.0325 percent of the assessed value of all property as assessed for City taxes. In accordance with Charter Section 246, the Department may request assistance from the Council in the performance of its functions with appropriations of money or otherwise."
JOBLVL4,Judgment Obligation Bonds Debt Service Fund,"An annual sum is appropriated to this Fund to pay debt service on bonds sold to finance the liabilities from the adverse decisions by the California courts against the city in the following settlements: (a) the Harper Settlement; (b) the May Day Settlement (federal case only); and (c) various judgments or stipulated judgments relating to City misconduct in connection with certain plaintiffs' City employment, inverse condemnation incidents, and personal injuries caused by city employees or on city property with final payment to occur in 2019-20."
OTHERSPF,Other Special Purpose Funds,Appropriations for items or activities not readily chargeable to a budgetary department.
S11LVL4,Special Parking Revenue Fund,The Special Parking Revenue Fund provides for the utilization of all monies collected from parking meters and City-owned parking lots in the City of Los Angeles. This schedule reflects appropriations for non-departmental items. Appropriations to departmental budgets are shown in Section 2 Part II.
S14LVL4,Wastewater Special Purpose Fund,"An annual sum is appropriated to reimburse the General Fund for the related costs (including General City Overhead) of City departments, offices and bureaus providing support to the Wastewater System Improvement Program.  Provision is made for direct payment of non-salary related expense, equipment and special costs previously budgeted in operating budgets through subventions from Sewer Construction and Maintenance funds.  An amount equal to 45 days operation and maintenance costs is reserved in accordance with the requirements of the General Resolution authorizing the Wastewater System Revenue Bonds.  Funds are appropriated for bond redemption and interest on Wastewater System Revenue bonds."
S26LVL4,Proposition A Local Transit Assistance Fund,"The Proposition A Local Transit Assistance (PALTA) Fund provides for the utilization of one-half cent sales tax revenues for the planning, administration, and operation of Citywide public transportation programs.  Proposed appropriations comply with the Proposition A Local Return Program Guidelines adopted by the Los Angeles County Transportation Commission, which administers this program approved by the voters in November 1980.  This schedule reflects appropriations for non-departmental items. Appropriations to departmental budgets are shown in Section 2 Part II and Section 2 Part III."
S27LVL4,Proposition C Anti-Gridlock Transit Improvement Fund,"The one-half cent sales tax for transit improvements, Proposition C, was approved by the voters on November 6, 1990.This schedule reflects appropriations for non-departmental items. Appropriations to departmental budgets are shown in Section 2 Part II and Section 2 Part III."
S36LVL4,Bond Redemption and Interest,These are the amounts required for the payment of principal and interest on the General Obligation Bonds of the City.
TRANLVL4,Tax and Revenue Anticipation Notes,A sum is appropriated to this Fund for payment of the entire debt service on tax and revenue anticipation notes issued to pay the annual contributions to both the Los Angeles City Employees' Retirement System (Retirement Fund) and the Fire and Police Pension Fund (Pension Fund) in July. The additional interest earned by the Pension and Retirement Funds from this early payment is used to discount the required City contribution to both Funds without reducing its annual receipts. A sum is also appropriated to this Fund for the interest portion of the debt service on notes issued to alleviate the short-term cash flow deficits that occur early in the fiscal year when certain taxes and revenues have not yet been received. The principal portion of the notes has not been appropriated in the budget since the principal is treated as temporary borrowing rather than expenditure.
